Number,Area,Date,Average,Highest,Lowest,Precipitation,Humidity
261,해남,2018-07-09,22.70 ,27.1,20.8,0,90
261,해남,2018-07-10,25.10 ,29.4,22.2,,83
261,해남,2018-07-11,26.70 ,30.7,23.7,,82
261,해남,2018-07-12,27.30 ,32.8,23.2,,83
261,해남,2018-07-13,26.70 ,31.5,23.2,,85
261,해남,2018-07-14,26.50 ,31.7,22,,84
261,해남,2018-07-15,26.60 ,33.1,21.2,,82
261,해남,2018-07-16,26.50 ,32.3,21,,81
262,고흥,2018-07-09,20.90 ,22.2,19.8,5.1,98
262,고흥,2018-07-10,24.20 ,28.5,21,,88
262,고흥,2018-07-11,25.70 ,30,21.5,,85
262,고흥,2018-07-12,26.30 ,30.7,22.2,,86
262,고흥,2018-07-13,26.80 ,32,22.9,,83
262,고흥,2018-07-14,26.80 ,32.4,21.8,,80
262,고흥,2018-07-15,27.00 ,33.2,22,,78
262,고흥,2018-07-16,26.90 ,32.4,22.2,,78
272,영주,2018-07-09,18.50 ,20.1,17.8,25.5,87
272,영주,2018-07-10,22.80 ,28.1,18,0.5,84
272,영주,2018-07-11,25.60 ,29.8,22.4,,82
272,영주,2018-07-12,26.70 ,30.8,22.4,,76
272,영주,2018-07-13,27.40 ,32.3,22.7,,67
272,영주,2018-07-14,27.60 ,33.5,21.5,,67
272,영주,2018-07-15,27.40 ,33.5,21.5,,64
272,영주,2018-07-16,28.00 ,34,20.6,,66
273,문경,2018-07-09,18.50 ,19.1,17.5,30.5,89
273,문경,2018-07-10,22.30 ,26.6,18.5,0.2,86
273,문경,2018-07-11,26.20 ,31.9,21.8,0,81
273,문경,2018-07-12,27.60 ,33.3,22.8,,73
273,문경,2018-07-13,28.50 ,33.9,23.8,,64
273,문경,2018-07-14,28.40 ,34.7,23.1,,66
273,문경,2018-07-15,28.80 ,34.9,23.3,,62
273,문경,2018-07-16,28.90 ,35.3,22.5,,63
277,영덕,2018-07-09,18.10 ,18.9,17.4,11.5,95
277,영덕,2018-07-10,22.00 ,28.3,17.7,,89
277,영덕,2018-07-11,22.20 ,26.6,20.1,0.1,89
277,영덕,2018-07-12,28.20 ,34.3,20.5,,75
277,영덕,2018-07-13,29.00 ,34.4,24.5,,69
277,영덕,2018-07-14,29.20 ,34.4,24.5,,70
277,영덕,2018-07-15,30.00 ,36.2,24.7,,65
277,영덕,2018-07-16,29.80 ,35.8,24.8,,68
278,의성,2018-07-09,20.10 ,21.5,19.2,14,94
278,의성,2018-07-10,24.70 ,31.1,18.8,,85
278,의성,2018-07-11,28.10 ,34.7,22.7,,78
278,의성,2018-07-12,28.90 ,35.3,23.7,,73
278,의성,2018-07-13,28.70 ,35.2,23,,73
278,의성,2018-07-14,29.10 ,35.7,23.3,,71
278,의성,2018-07-15,29.40 ,36.6,23,,70
278,의성,2018-07-16,30.00 ,36.8,22.9,,70
279,구미,2018-07-09,19.40 ,20.1,18.3,3.2,99
279,구미,2018-07-10,23.50 ,29.1,18.9,0.2,96
279,구미,2018-07-11,26.80 ,32.1,22.5,1.3,91
279,구미,2018-07-12,28.20 ,33.7,24,,87
279,구미,2018-07-13,28.60 ,34,24,,84
279,구미,2018-07-14,29.00 ,34.8,24.9,,82
279,구미,2018-07-15,29.50 ,35.3,24.4,,77
279,구미,2018-07-16,29.90 ,35.2,24.4,,81
281,영천,2018-07-09,19.00 ,20.1,17.8,3,90
281,영천,2018-07-10,24.80 ,31.4,18.8,,78
281,영천,2018-07-11,28.10 ,34.5,22.8,,73
281,영천,2018-07-12,29.20 ,35,23.9,,70
281,영천,2018-07-13,29.90 ,35.3,25.4,,66
281,영천,2018-07-14,29.90 ,36.8,24,,62
281,영천,2018-07-15,30.30 ,37.2,23.3,,63
281,영천,2018-07-16,30.60 ,37.5,23.5,,61
284,거창,2018-07-09,19.30 ,21,17.5,1.1,96
284,거창,2018-07-10,24.40 ,29.5,19.8,,87
284,거창,2018-07-11,26.70 ,32.1,22,,81
284,거창,2018-07-12,27.40 ,33.2,22.7,,80
284,거창,2018-07-13,27.80 ,34.6,22,,78
284,거창,2018-07-14,27.80 ,35.1,22.2,,74
284,거창,2018-07-15,27.90 ,35.3,20.7,,77
284,거창,2018-07-16,28.10 ,34.9,22.6,,78
285,합천,2018-07-09,19.50 ,20.7,18.1,15,91
285,합천,2018-07-10,24.60 ,29.7,19.7,,81
285,합천,2018-07-11,27.80 ,33.2,22.7,,72
285,합천,2018-07-12,28.40 ,33.8,22.6,,70
285,합천,2018-07-13,29.40 ,35.7,24.5,,69
285,합천,2018-07-14,29.60 ,36.7,23.8,,70
285,합천,2018-07-15,30.00 ,36.8,23.7,,66
285,합천,2018-07-16,29.80 ,36.1,23.9,,65
288,밀양,2018-07-09,20.10 ,21.8,18.3,7.4,97
288,밀양,2018-07-10,25.10 ,32.1,19.7,,84
288,밀양,2018-07-11,27.70 ,33.7,22.6,,77
